,,,sysbench,,,y-cruncher,,,pgbench,,,iperf,,,,,,
instanceID,setId,tenants,sysbench_wall_time,sysbench_std,sysbench_cv,ycruncher_wall_time,ycruncher_std,ycruncher_cv,pgbench_transactions,pgbench_std,pgbench_cv,bandwidthUpload,bandwitdhDownload,iperf_total,stdUp,stdDown,stdTotal,iperf_cv
i-07c76ac1348426483,1,47,9.045660072,0.01629494172,0.001801409913,6.530129751,0.1047107308,0.01603501536,121790.3333,320.9553448,0.002635310504,805.6,652,1457.6,764.4274837,325.8066912,1055.987395,0.724469947
i-0837f0f6a7a42ac68,1,47,9.058171219,0.04258359008,0.004701124437,6.514462736,0.0644734549,0.009896971941,124017.6667,247.8917775,0.001998842456,423.9,475.1,899,102.0233633,118.7756522,200.139951,0.2226250846
i-084caea7d9c000ba9,1,47,9.048520618,0.01447878749,0.00160012759,6.547997634,0.0139685351,0.002133252924,122709,579.3763889,0.004721547636,381.4,494.8,876.2,77.83629545,176.1645695,214.8295448,0.2451832285
i-08559b79281547ef2,1,47,9.050522751,0.01735610362,0.001917690735,6.516278479,0.05596184311,0.008588006681,123678.6667,147.5985546,0.001193403508,450.2,518.6,968.8,139.4328193,187.278877,310.2378299,0.3202289739
i-08e70b514c8c3cd5a,1,47,9.047338804,0.01328455759,0.001468338688,6.422873338,0.06987439614,0.01087899332,124678,193.0077719,0.001548049952,624.1,509.6,1133.7,171.4490206,162.3344969,317.1704939,0.2797658057
i-08ff78a502245298a,1,47,9.04622025,0.01186134409,0.001311193378,6.440450165,0.03091088508,0.004799491385,124997.3333,260.079475,0.002080680188,464.6,518.5,983.1,156.1418159,161.4092452,196.2580218,0.1996317992
i-095d06d26dd29ecec,1,47,9.048544884,0.01513412175,0.001672547569,6.526935445,0.01821790006,0.002791187413,124139.6667,691.8745069,0.005573355604,481.1,576.9,1058,196.3536775,84.07331457,235.0768196,0.2221898106
i-0977cb2af690d36fd,1,47,9.058046261,0.03769254246,0.004161222119,6.432114204,0.05875998139,0.009135407042,126133.3333,430.8553508,0.003415872232,772.2,617.2,1389.4,363.5478877,147.0100526,470.0189594,0.3382891604
i-09c658651b17c197e,1,47,9.047222402,0.01392490008,0.001539135379,6.576244911,0.04525114905,0.006881001189,122291,408.826369,0.003343061787,523.1,513.3,1036.4,364.0486689,167.9689455,514.3362929,0.4962719924
i-0aecb3d1daeccc874,1,47,9.047952625,0.0165345845,0.001827439332,6.614541557,0.06931337511,0.01047893864,125058,564.6618457,0.004515199713,566.5,611.7,1178.2,277.5781171,210.2438003,449.6242382,0.3816196216
i-0b138e3642a677559,1,47,9.050935321,0.01294962512,0.001430749935,6.396765682,0.05242021543,0.008194800003,122998.3333,186.2426732,0.001514188593,568.9,519.6,1088.5,329.6450785,170.6615885,483.7116336,0.4443836781
i-0b3a38b18367faa71,1,47,9.048381408,0.01271511536,0.00140523645,6.389517307,0.0539583917,0.008444830667,123844.6667,270.0783837,0.002180783323,743.7,631.5,1375.2,397.6053459,206.351507,565.2849429,0.4110565321
i-0ba417327f988ba2b,1,47,9.057256169,0.01537900209,0.001697975833,6.563087119,0.04938854517,0.007525200302,122896,641.5605973,0.005220353773,592.9,563.9,1156.8,226.6159012,365.0295117,574.564144,0.4966840802
i-0bfaa8f4e041c36fa,1,47,9.048250331,0.01677377098,0.001853813761,6.533539878,0.1049071149,0.01605670385,123704,622.2483427,0.005030139225,645.9,504.3,1150.2,164.1702707,94.42110169,242.4641096,0.210801695
i-0c3e9f9e7b281edfe,1,47,9.050516076,0.01539042292,0.001700502247,6.541642825,0.01590663575,0.002431596493,126649.6667,120.8649384,0.0009543249625,443.4,493.8,937.2,161.0329159,116.1606168,238.8406256,0.2548448844
i-0cc4b604b837f69d9,1,47,9.048782984,0.01416585836,0.00156549874,6.405739069,0.05996335902,0.009360880669,123066,401.4523633,0.003262089962,518.3,534,1052.3,202.2045444,117.9189929,290.1605111,0.2757393435
i-0d136c81f43ce8a29,1,47,9.049325095,0.01414984639,0.001563635546,6.489831712,0.06664351661,0.0102689129,124849.3333,527.4280362,0.00422451624,671.9,594.1,1266,296.5548291,126.1176259,388.0535473,0.3065193896
i-0d1c421d52c368b29,1,47,9.047794845,0.01382966734,0.001528512481,6.561289152,0.03782569201,0.00576497867,122588,187.6619301,0.001530834422,560.4,512.6,1073,134.9042459,98.62634311,204.4896085,0.1905774544
i-0d44050a4e6a71d7c,1,47,9.04737552,0.01415012005,0.001564002734,6.597229296,0.1569204197,0.02378580654,123700,103.5905401,0.0008374336306,395.3,576.7,972,110.1776848,97.42239076,115.2938275,0.1186150489
