python3 distribute_work.py -b sysbench -s -c 5 -n 10 -d 2,,,,,,,,
experimentID,setId,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1573168503-0,0,i-04de8d0c4c390bf8a,m5d.large,9.042019606,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.37ms,9.0183s,2
1573168503-0,0,i-04de8d0c4c390bf8a,m5d.large,9.038770914,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.58ms,9.0152s,2
1573168503-0,0,i-04de8d0c4c390bf8a,m5d.large,9.083902597,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1807.08ms,9.0440s,2
1573168503-0,0,i-04de8d0c4c390bf8a,m5d.large,9.06990099,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.53ms,9.0238s,2
1573168503-0,0,i-04de8d0c4c390bf8a,m5d.large,9.06029582,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.90ms,9.0168s,2
1573168503-0,0,i-04de8d0c4c390bf8a,m5d.large,9.068847895,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.66ms,9.0193s,2
1573168503-0,0,i-04de8d0c4c390bf8a,m5d.large,9.111534357,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.22ms,9.0623s,2
1573168503-0,0,i-04de8d0c4c390bf8a,m5d.large,9.05795145,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.88ms,9.0189s,2
1573168503-0,0,i-04de8d0c4c390bf8a,m5d.large,9.068178892,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.63ms,9.0284s,2
1573168503-0,0,i-05fe13dec11abc13c,m5d.large,9.059247017,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.71ms,9.0206s,2
1573168503-0,0,i-05fe13dec11abc13c,m5d.large,9.046803236,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.68ms,9.0180s,2
1573168503-0,0,i-05fe13dec11abc13c,m5d.large,9.048995018,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.68ms,9.0175s,2
1573168503-0,0,i-05fe13dec11abc13c,m5d.large,9.08146596,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.16ms,9.0450s,2
1573168503-0,0,i-05fe13dec11abc13c,m5d.large,9.069321632,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.49ms,9.0200s,2
1573168503-0,0,i-05fe13dec11abc13c,m5d.large,9.060042858,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.71ms,9.0169s,2
1573168503-0,0,i-05fe13dec11abc13c,m5d.large,9.068259954,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.54ms,9.0239s,2
1573168503-0,0,i-05fe13dec11abc13c,m5d.large,9.108090878,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.89ms,9.0612s,2
1573168503-0,0,i-05fe13dec11abc13c,m5d.large,9.054591417,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.63ms,9.0163s,2
1573168503-0,0,i-05fe13dec11abc13c,m5d.large,9.060523987,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.20ms,9.0217s,2
1573168503-0,0,i-0682442ba5683bfea,m5d.large,9.060823917,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.38ms,9.0264s,2
1573168503-0,0,i-0682442ba5683bfea,m5d.large,9.068763971,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1807.94ms,9.0403s,2
1573168503-0,0,i-0682442ba5683bfea,m5d.large,9.050401449,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.01ms,9.0204s,2
1573168503-0,0,i-0682442ba5683bfea,m5d.large,9.044031858,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.20ms,9.0182s,2
