python3 distribute_work.py -b sysbench -c 5 -n 10 -d 2,,,,,,,,,,
experimentID,setId,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num,Standard deviation,Average
1571978908-0,0,i-05741e87947f9417d,m5d.large,9.056284666,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.31ms,9.0326s,2,,
1571978908-0,0,i-05741e87947f9417d,m5d.large,9.056267738,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.87ms,9.0364s,2,,
1571978908-0,0,i-05741e87947f9417d,m5d.large,9.036565304,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.14ms,9.0171s,2,,
1571978908-0,0,i-05741e87947f9417d,m5d.large,9.056074619,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.23ms,9.0335s,2,,
1571978908-0,0,i-05741e87947f9417d,m5d.large,9.048618793,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.76ms,9.0283s,2,,
1571978908-0,0,i-05741e87947f9417d,m5d.large,9.044789791,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.92ms,9.0236s,2,,
1571978908-0,0,i-05741e87947f9417d,m5d.large,9.044923782,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.31ms,9.0227s,2,,
1571978908-0,0,i-05741e87947f9417d,m5d.large,9.056855917,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.21ms,9.0365s,2,,
1571978908-0,0,i-058aac4c8b5980c21,m5d.large,9.119439363,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.31ms,9.0196s,2,,
1571978908-0,0,i-058aac4c8b5980c21,m5d.large,9.068837643,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.04ms,9.0473s,2,,
1571978908-0,0,i-058aac4c8b5980c21,m5d.large,9.044712067,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.07ms,9.0208s,2,,
1571978908-0,0,i-058aac4c8b5980c21,m5d.large,9.044890642,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.27ms,9.0214s,2,,
1571978908-0,0,i-058aac4c8b5980c21,m5d.large,9.049375772,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.97ms,9.0274s,2,,
1571978908-0,0,i-058aac4c8b5980c21,m5d.large,9.084615469,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.69ms,9.0613s,2,,
1571978908-0,0,i-058aac4c8b5980c21,m5d.large,9.054271936,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.50ms,9.0194s,2,,
1571978908-0,0,i-058aac4c8b5980c21,m5d.large,9.055390596,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.58ms,9.0252s,2,,
1571978908-0,0,i-058aac4c8b5980c21,m5d.large,9.066684723,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.94ms,9.0264s,2,,
1571978908-0,0,i-058aac4c8b5980c21,m5d.large,9.069905043,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.16ms,9.0221s,2,,
1571978908-0,0,i-05c514d7a91792838,m5d.large,9.14996171,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.11ms,9.0324s,2,,
1571978908-0,0,i-05c514d7a91792838,m5d.large,9.049183607,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.80ms,9.0286s,2,,
1571978908-0,0,i-05c514d7a91792838,m5d.large,9.03905201,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.90ms,9.0190s,2,,
1571978908-0,0,i-05c514d7a91792838,m5d.large,9.088580847,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.72ms,9.0686s,2,,
1571978908-0,0,i-05c514d7a91792838,m5d.large,9.045372248,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.62ms,9.0244s,2,,
1571978908-0,0,i-05c514d7a91792838,m5d.large,9.044691324,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.63ms,9.0239s,2,,
1571978908-0,0,i-05c514d7a91792838,m5d.large,9.044615746,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.71ms,9.0216s,2,,
1571978908-0,0,i-05c514d7a91792838,m5d.large,9.050804377,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.27ms,9.0280s,2,,
1571978908-0,0,i-05c514d7a91792838,m5d.large,9.042566061,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.98ms,9.0206s,2,,
1571978908-0,0,i-05c514d7a91792838,m5d.large,9.065837622,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.18ms,9.0207s,2,,
1571978908-0,0,i-05dcc4bf10c89da31,m5d.large,9.124708414,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.41ms,9.0576s,2,,
1571978908-0,0,i-05dcc4bf10c89da31,m5d.large,9.040055275,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.36ms,9.0172s,2,,
1571978908-0,0,i-05dcc4bf10c89da31,m5d.large,9.040051937,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.13ms,9.0175s,2,,
1571978908-0,0,i-05dcc4bf10c89da31,m5d.large,9.042173862,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.97ms,9.0213s,2,,
1571978908-0,0,i-05dcc4bf10c89da31,m5d.large,9.083873272,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1809.89ms,9.0644s,2,,
1571978908-0,0,i-05dcc4bf10c89da31,m5d.large,9.145814657,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.17ms,9.0229s,2,,
1571978908-0,0,i-05dcc4bf10c89da31,m5d.large,9.046141863,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.66ms,9.0248s,2,,
1571978908-0,0,i-05dcc4bf10c89da31,m5d.large,9.042666674,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.29ms,9.0216s,2,,
1571978908-0,0,i-05dcc4bf10c89da31,m5d.large,9.046623707,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.32ms,9.0214s,2,,
1571978908-0,0,i-05dcc4bf10c89da31,m5d.large,9.041613817,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.92ms,9.0209s,2,,
1571978908-0,0,i-062b6b41983765e64,m5d.large,9.083714962,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.77ms,9.0534s,2,,
1571978908-0,0,i-062b6b41983765e64,m5d.large,9.041122913,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.56ms,9.0187s,2,,
