,iperf,sysbench,ycruncher,pgbench,setId,vmId
3483,896.0,9.049948931,6.577914,123886,48,34
3484,3120.0,9.043139935,6.659790516,123228,48,34
3485,1430.0,9.036630869,6.4319539070000005,123053,48,34
3486,668.0,9.068881272999999,6.509259462,122496,48,35
3487,1443.0,9.041293621,6.4056239129999994,122005,48,35
3488,2275.0,9.044879675,6.41149497,121762,48,35
3489,861.0,9.041586637,6.559686661000001,123952,48,36
3490,2029.0,9.035337687,6.519499063,123817,48,36
3491,2660.0,9.040577172999999,6.373747826000001,123570,48,36
3492,1378.0,9.052512169,6.562375069,123016,48,37
3493,2503.0,9.03899765,6.514815569,122534,48,37
3494,3250.0,9.04437995,6.415103674,122132,48,37
3495,1141.0,9.039822817000001,6.439890385,122681,48,38
3496,3440.0,9.036592484,6.409406662,122352,48,38
3497,1855.0,9.042790651,6.379146576,122394,48,38
3498,1348.0,9.052685976,6.530208349,124824,48,39
3499,2660.0,9.038565636,6.501579522999999,124065,48,39
3500,1368.0,9.040030003,6.4113745689999995,123731,48,39
3501,853.0,9.066395283,6.522765875,125198,48,40
3502,2209.0,9.036746264,6.387169361000001,123940,48,40
3503,2192.0,9.037997007000001,6.356688022999999,123845,48,40
3504,1042.0,9.061484814,6.526449919,126217,48,41
3505,2880.0,9.035867691,6.421724796,125445,48,41
3506,2600.0,9.047530412999999,6.361083269,124950,48,41
3507,1218.0,9.041191816,6.359494209,123906,48,42
3508,3230.0,9.035035133,6.377787112999999,122948,48,42
3509,2890.0,9.038597107000001,6.380407095,122839,48,42
3510,985.0,9.060208559,6.532296896,123062,48,43
3511,2790.0,9.036974669,6.52469039,123057,48,43
3512,2383.0,9.043169737000001,6.438137053999999,121733,48,43
3513,766.0,9.065124035,6.559770822999999,124576,48,44
3514,3400.0,9.041220903,6.506950377999999,123540,48,44
3515,4300.0,9.045578718,6.459510326,123279,48,44
3516,1204.0,9.040549994,6.6611921789999995,123943,48,45
3517,3560.0,9.039886236000001,6.475635767000001,123597,48,45
3518,1008.0,9.040552378,6.4377112389999995,123178,48,45
3519,1308.0,9.057614326,6.561345577000001,125137,48,46
3520,3060.0,9.037899256000001,6.528297662999999,124377,48,46
3521,2065.0,9.039266586,6.4348394870000005,124971,48,46
3522,872.0,9.064374208,6.643840551,122999,48,47
3523,3110.0,9.036231041,6.4094491,122703,48,47
3524,3970.0,9.040453672,6.399688482,121639,48,47
3525,710.0,9.04510808,6.558960438,123052,48,48
3526,3390.0,9.051767587999999,6.5232579710000005,123072,48,48
3527,4400.0,9.03809762,6.409604549,122996,48,48
